"VendorID","pickup_date","pickup_weekday","is_Sunday","is_Saturday","pickup_time","pickup_hour","pickup_dayhour","dropoff_date","dropoff_time","dropoff_hour","passenger_count","trip_distance","pickup_longitude","pickup_latitude","RateCodeID","store_and_fwd_flag","dropoff_longitude","dropoff_latitude","payment_type","payment_card","payment_cash","fare_amount","extra","mta_tax","tip_amount","tolls_amount","improvement_surcharge","total_amount","Zipcode","STATION","STATION_NAME","DATE","PRCP","SNWD","SNOW","TMAX","TMIN","AWND","X2010.Population","Land.Sq.Mi","Density.Per.Sq.Mile","UnempRate","numb_sample","AreaName","Place.","State.","Population.","Housing","pctWhite","pctBlack","pctAI.AN","pctAsian","pctNHOPI","pctOthRace","pct2.Races","pctHispanic","DAHR","DA","HR","dayhour","DIR","SPD","GUS","CLG","SKC","VSB","TEMP","DEWP","MAX","MIN","PCP01"
1,"5/1/2015",6,0,0,"1:16:00 AM",1,"1/1","5/1/2015","1:41:00",1,1,7.4,-73.98439789,40.7489624,1,"N",-73.95371246,40.6746254,1,1,0,24.5,0.5,0.5,5.15,0,0.3,30.95,10001,"GHCND:USW00094728","NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US","5/1/2015",0,0,0,172,94,23,21102,0.614,34368.07818,"9%",19050,"New York",51000,"NY",21,102,12,476,65,9,0.4,16.8,0,5,11,1,1,"1/1",90,8,NA,250,"",10,50,39,NA,NA,0
1,"5/10/2015",1,1,0,"12:53:00 PM",12,"10/12","5/10/2015","13:06:00",13,1,2,-73.98178864,40.76771927,1,"N",-73.95461273,40.76572418,1,1,0,10.5,0,0.5,2.26,0,0.3,13.56,10019,"GHCND:USW00094728","NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US","5/10/2015",0,0,0,283,161,16,42870,0.687,62401.74672,"7%",37839,"New York",51000,"NY",42,870,31,404,69.3,5.5,0.3,16.7,0.1,4.7,1012,10,12,"10/12",170,7,NA,NA,"BKN",5,61,59,64,58,NA
1,"5/14/2015",5,0,0,"9:37:00 PM",21,"14/21","5/14/2015","21:49:00",21,1,1.5,-73.97476959,40.76249313,1,"N",-73.9914093,40.7510376,1,1,0,9,0.5,0.5,2.55,0,0.3,12.85,10019,"GHCND:USW00094728","NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US","5/14/2015",0,0,0,228,100,17,42870,0.687,62401.74672,"7%",37839,"New York",51000,"NY",42,870,31,404,69.3,5.5,0.3,16.7,0.1,4.7,1421,14,21,"14/21",190,14,NA,NA,"SCT",10,65,39,NA,NA,NA
2,"5/18/2015",2,0,0,"4:25:00 PM",16,"18/16","5/18/2015","16:45:00",16,1,3.59,-73.95722961,40.77006149,1,"N",-73.98423767,40.73321152,1,1,0,15,1,0.5,3.36,0,0.3,20.16,10021,"GHCND:USW00094728","NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US","5/18/2015",0,0,0,239,156,21,43631,0.379,115121.372,"3%",36500,"New York",51000,"NY",43,631,28,628,88,1.8,0.1,7.3,0,0.9,1816,18,16,"18/16",90,15,NA,18,"",10,61,54,NA,NA,NA
2,"5/19/2015",3,0,0,"2:41:00 PM",14,"19/14","5/19/2015","15:02:00",15,6,1.21,-73.99359131,40.73949432,1,"N",-73.99230194,40.74941635,1,1,0,13.5,0,0.5,2,0,0.3,16.3,10011,"GHCND:USW00094728","NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US","5/19/2015",0,0,0,267,150,11,50984,0.661,77131.61876,"7%",46908,"New York",51000,"NY",50,984,33,252,80.3,4.6,0.2,8.9,0.1,2.9,1914,19,14,"19/14",NA,0,NA,5,"",2,64,59,NA,NA,NA
1,"5/5/2015",3,0,0,"6:48:00 AM",6,"5/6","5/5/2015","6:48:00",6,1,0.1,-73.99007416,40.74834824,1,"N",-73.990242,40.74846268,3,0,0,2.5,0,0.5,0,0,0.3,3.3,10001,"GHCND:USW00094728","NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US","5/5/2015",0,0,0,294,189,18,21102,0.614,34368.07818,"9%",19050,"New York",51000,"NY",21,102,12,476,65,9,0.4,16.8,0,5,56,5,6,"5/6",190,6,NA,NA,"SCT",10,58,47,64,50,NA
1,"5/3/2015",1,1,0,"6:40:00 AM",6,"3/6","5/3/2015","6:52:00",6,1,3.7,-73.99162292,40.72708511,1,"N",-73.94681549,40.6980896,2,0,1,13.5,0,0.5,0,0,0.3,14.3,10012,"GHCND:USW00094728","NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US","5/3/2015",0,0,0,267,106,11,24090,0.323,74582.04334,"6%",22577,"New York",51000,"NY",24,90,14,633,75.6,2.5,0.1,16.5,0,2.2,36,3,6,"3/6",210,7,NA,NA,"SCT",10,48,41,51,43,NA
1,"5/15/2015",6,0,0,"12:34:00 PM",12,"15/12","5/15/2015","12:41:00",12,1,0.9,-73.99239349,40.73698807,1,"N",-74.00001526,40.72678757,1,1,0,6.5,0,0.5,1.8,0,0.3,9.1,10003,"GHCND:USW00094728","NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US","5/15/2015",0,0,0,239,128,15,56024,0.576,97263.88889,"7%",52037,"New York",51000,"NY",56,24,31,78,76.4,3.5,0.2,14.4,0,2.2,1512,15,12,"15/12",240,9,NA,NA,"BKN",10,60,45,71,53,NA
1,"5/5/2015",3,0,0,"6:18:00 PM",18,"5/18","5/5/2015","18:31:00",18,1,1.8,-73.9779129,40.78876877,1,"N",-73.95411682,40.78391266,2,0,1,10,1,0.5,0,0,0.3,11.8,10024,"GHCND:USW00094728","NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US","5/5/2015",0,0,0,294,189,18,59283,0.858,69094.40559,"5%",51029,"New York",51000,"NY",59,283,33,952,83,5.7,0.2,5.5,0,2.9,518,5,18,"5/18",200,10,NA,NA,"BKN",10,81,53,82,64,NA
1,"5/13/2015",4,0,0,"5:09:00 PM",17,"13/17","5/13/2015","17:28:00",17,1,2.9,-73.98049927,40.77296066,1,"N",-73.95262909,40.79160309,1,1,0,14,1,0.5,3.16,0,0.3,18.96,10023,"GHCND:USW00094728","NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US","5/13/2015",0,0,0,211,117,33,60998,0.491,124232.1792,"6%",52669,"New York",51000,"NY",60,998,39,402,81.5,4.7,0.2,9,0,2.2,1317,13,17,"13/17",310,15,25,60,"",10,69,38,70,62,0
